#Año,Tipo,Presupuesto,Programa,Económica,Descripcion,Inicial,Seccion
2016,G,P,2211,16204,ACCION SOCIAL,1139.20,0101
2016,G,P,2211,16206,VESTUARIO,2142.00,0101
2016,G,P,9121,10000,RETRIBUCIONES BASICAS (ORGANOS DE GOBIERNO),249641.28,0101
2016,G,P,9121,11000,RETRIBUCIONES BASICAS (PERSONAL EVENTUAL),171737.79,0101
2016,G,P,9121,15001,PRODUCTIVIDAD-CONSTANCIA,16022.16,0101
2016,G,P,9121,16000,SEGURIDAD SOCIAL,136920.98,0101
2016,G,P,9121,22001,"PRENSA,REVISTA,LIBROS Y OTRAS PUBLICACIONES",1000.00,0101
2016,G,P,9121,22200,SERVICIO DE TELECOMUNICACIONES,22000.00,0101
2016,G,P,9121,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,5000.00,0101
2016,G,P,9121,22646,III PLAN DE IGUALDAD DE OPORTUNIDADES,2000.00,0101
2016,G,P,9121,23000,DIETAS DE LOS MIEMBROS DE LOS ORG. DE GOBIERNO,1000.00,0101
2016,G,P,9121,23100,LOCOMOCION DE LOS MIEMBROS DE LOS ORG. DE GOBIERNO,1000.00,0101
2016,G,P,9121,23300,ASISTENCIA A PLENOS Y COMISIONES,65000.00,0101
2016,G,P,9121,46600,CUOTAS FEMP Y FAMP,4700.00,0101
2016,G,P,9121,48000,ATENCIONES BENEFICAS Y ASISTENCIALES,22000.00,0101
2016,G,P,9121,48015,PLAN INTEGRAL DE LA JUVENTUD,1000.00,0101
2016,G,P,9121,48900,OTRAS TRANSFERENCIAS,5899.95,0101
2016,G,P,9121,48911,ASIGNACIONES A GRUPOS POLITICOS,30507.00,0101
2016,G,P,2211,16204,ACCION SOCIAL,1476.14,0102
2016,G,P,2211,16206,VESTUARIO,3825.00,0102
2016,G,P,9201,12000,SUELDOS GRUPO A1,29648.19,0102
2016,G,P,9201,12003,SUELDOS GRUPO C1,9983.69,0102
2016,G,P,9201,12004,SUELDOS GRUPO C2,25387.10,0102
2016,G,P,9201,12005,SUELDOS GRUPO E,9417.23,0102
2016,G,P,9201,12006,TRIENIOS,15010.88,0102
2016,G,P,9201,12100,COMPLEMENTOS DE DESTINO,47271.52,0102
2016,G,P,9201,12101,COMPLEMENTOS ESPECIFICO,59084.27,0102
2016,G,P,9201,12500,RET.BASICAS FUNCIONARIOS INTERINOS TEMPORALES,2215.82,0102
2016,G,P,9201,12502,RET.COMPLTª  FUNCIONARIOS INTERINOS TEMPORALES,2706.10,0102
2016,G,P,9201,13000,RETRIBUCIONES BASICAS,50187.01,0102
2016,G,P,9201,13100,RET.BASICAS LABORAL EVENTUAL,20629.47,0102
2016,G,P,9201,15000,PRODUCTIVIDAD ,20348.36,0102
2016,G,P,9201,15001,PRODUCTIVIDAD-CONSTANCIA,25177.68,0102
2016,G,P,9201,15100,GRATIFICACIONES,2775.00,0102
2016,G,P,9201,16000,SEGURIDAD SOCIAL,96247.02,0102
2016,G,P,9201,22000,ORDINARIO NO INVENTARIABLE,11000.00,0102
2016,G,P,9201,22001,"PRENSA,REVISTA,LIBROS Y OTRAS PUBLICACIONES",3300.00,0102
2016,G,P,9201,22200,SERVICIO DE TELECOMUNICACIONES,12000.00,0102
2016,G,P,9201,22201,POSTALES,25000.00,0102
2016,G,P,9201,22401,FRANQUICIAS SEGURO RESPONSABILIDAD CIVIL,3000.00,0102
2016,G,P,9201,22402,SEGURO RESPONSABILIDAD CIVIL,40000.00,0102
2016,G,P,9201,22603,PUBLICACIONES EN DIARIOS OFICIALES,3000.00,0102
2016,G,P,9201,2269908,PUBLICACIONES OFICIALES EN PERIODICOS,2000.00,0102
2016,G,P,9201,22706,ESTUDIOS Y TRABAJOS TECNICOS,10000.00,0102
2016,G,P,9201,2279936,SERVICIO DE NOTIFICACIONES,9000.00,0102
2016,G,P,9201,2279960,SERVICIO DE FOTOCOPIAS,2000.00,0102
2016,G,P,9201,23120,LOCOMOCION PERSONAL NO DIRECTIVO,2861.28,0102
2016,G,P,9202,2269920,MANTENIMIENTO JUZGADO DE PAZ,2750.00,0102
2016,G,P,9202,48932,TRANSFERENCIAS MANTENIMIENTO JUZGADO DE PAZ,4500.00,0102
2016,G,P,9231,12004,SUELDOS GRUPO C2,8462.37,0102
2016,G,P,9231,12006,TRIENIOS,1877.74,0102
2016,G,P,9231,12100,COMPLEMENTOS DE DESTINO,4312.84,0102
2016,G,P,9231,12101,COMPLEMENTOS ESPECIFICO,7497.88,0102
2016,G,P,9231,13000,RETRIBUCIONES BASICAS,23910.84,0102
2016,G,P,9231,15001,PRODUCTIVIDAD-CONSTANCIA,4577.76,0102
2016,G,P,9231,16000,SEGURIDAD SOCIAL,14534.70,0102
2016,G,P,1110,91101,AMORTIZ.PRTMO.DIPUT.2014 1ª CONVOCATORIA,166374.23,0201
2016,G,P,1110,91102,AMORTIZ.PRTMO.DIPUT.2014 2ª CONVOCATORIA,117134.49,0201
2016,G,P,2211,16204,ACCION SOCIAL,2090.28,0201
2016,G,P,2211,16206,VESTUARIO,6120.00,0201
2016,G,P,9311,12000,SUELDOS GRUPO A1,15944.23,0201
2016,G,P,9311,12004,SUELDOS GRUPO C2,18729.43,0201
2016,G,P,9311,12006,TRIENIOS,6234.35,0201
2016,G,P,9311,12100,COMPLEMENTOS DE DESTINO,22098.03,0201
2016,G,P,9311,12101,COMPLEMENTOS ESPECIFICO,26389.08,0201
2016,G,P,9311,13000,RETRIBUCIONES BASICAS,51856.19,0201
2016,G,P,9311,13100,RET.BASICAS LABORAL EVENTUAL,19386.43,0201
2016,G,P,9311,15000,PRODUCTIVIDAD ,2520.00,0201
2016,G,P,9311,15001,PRODUCTIVIDAD-CONSTANCIA,12588.84,0201
2016,G,P,9311,15100,GRATIFICACIONES,157.65,0201
2016,G,P,9311,16000,SEGURIDAD SOCIAL,57364.07,0201
2016,G,P,9311,22000,ORDINARIO NO INVENTARIABLE,4000.00,0201
2016,G,P,9311,22001,"PRENSA,REVISTA,LIBROS Y OTRAS PUBLICACIONES",2000.00,0201
2016,G,P,9311,22200,SERVICIO DE TELECOMUNICACIONES,7500.00,0201
2016,G,P,9321,12003,SUELDOS GRUPO C1,11967.95,0201
2016,G,P,9321,12004,SUELDOS GRUPO C2,16924.73,0201
2016,G,P,9321,12005,SUELDOS GRUPO E,23266.10,0201
2016,G,P,9321,12006,TRIENIOS,9691.04,0201
2016,G,P,9321,12100,COMPLEMENTOS DE DESTINO,28089.63,0201
2016,G,P,9321,12101,COMPLEMENTOS ESPECIFICO,46151.12,0201
2016,G,P,9321,13000,RETRIBUCIONES BASICAS,25120.25,0201
2016,G,P,9321,13100,RET.BASICAS LABORAL EVENTUAL,22634.51,0201
2016,G,P,9321,15000,PRODUCTIVIDAD ,6871.34,0201
