#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito,Seccion
2016,I,P,11200,IBI NATURALEZA RUSTICA,810000.00,00
2016,I,P,11300,IBI NATURALEZA URBANA,5665134.78,00
2016,I,P,11500,IMPUESTO SOBRE VEH. TRACCION MECANICA,1650000.00,00
2016,I,P,11600,IMPUESTO SOBRE INCREMENTO VALOR TERRENO URBANOS,250000.00,00
2016,I,P,13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,1250000.00,00
2016,I,P,29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS (ICIO)",420000.00,00
2016,I,P,29001,"ICIO SODERIN VEINTIUNO, DESARROLLO Y VIVIENDA, S.A.U.",3.00,00
2016,I,P,30200,TASA RECOGIDA RSU,1560647.20,00
2016,I,P,30900,TASA PRESTACION SERVICIO DE CEMENTERIO MUNICIPAL,35000.00,00
2016,I,P,32100,TASA POR EXPEDICION LICENCIAS DE OBRAS,130000.00,00
2016,I,P,32300,TASA POR EXPEDICION LICENCIAS DE ARIDOS Y VERTIDOS INERTES,30000.00,00
2016,I,P,32301,TASA POR EXPEDICION DE LICENCIAS DE APERURA ESTABLECIMIENTOS,50000.00,00
2016,I,P,32500,TASA POR EXPEDICION DE DOCUMENTOS ADMINISTRATIVOS,70000.00,00
2016,I,P,32900,TAS POR EXPEDICION DE LICENCIAS DE AUTOTAXIS,25.00,00
2016,I,P,32901,TASA POR PRESTACION SERVICIO DE BODAS,2500.00,00
2016,I,P,32902,TASA RETIRADA VEHICULOS MAL ESTACIONADOS EN VIA PUBLICA,5200.00,00
2016,I,P,32903,TASA POR PRESTACION SERVICIOS INFORMATICOS BIBLIOTECAS,150.00,00
2016,I,P,32904,TASA POR PRESTACION SERVICIO COBRO EN PERIODO EJECUTIVO,5000.00,00
2016,I,P,33000,TASA APARCAMIENTO PARQUE EL MAJUELO,25000.00,00
2016,I,P,33001,TASA ESTACIONAMIENTO VEH. FERIA,8000.00,00
2016,I,P,33100,TASA POR ENTRADA VEH. A TRAVES DE LAS ACERAS,65000.00,00
2016,I,P,33200,TASA EMPRESAS EXPLOTARDORAS DE SERVICIOS DE SUMINISTROS,430000.00,00
2016,I,P,33800,COMPENSACION TELEFONICA DE ESPAÑA S.A.,52706.03,00
2016,I,P,33900,TASA POR SERVICIO DE MERCADO,2100.00,00
2016,I,P,33901,TASA POR OCUPACION VIA PUBLICA CON MESAS Y SILLAS,15000.00,00
2016,I,P,33902,TASA OCUPACION KIOSKOS EN LA VIA PUBLICA,5000.00,00
2016,I,P,33903,TASA OCUPACION DE LA VIA PUBLICA PUESTOS Y CASETAS DE FERIA,68895.00,00
2016,I,P,33904,TASA POR OCUPACION VIA PUBLICA MERCADILLOS AMBULANTES,30000.00,00
2016,I,P,33905,TASA OCUPACION VIA PUBLICA MATERIALES DE COSNSTRUCCION,2000.00,00
2016,I,P,33906,TASA UTILIZACION CASETAS MUNICIPALES,1000.00,00
2016,I,P,33908,TASA APROVECHAMIENTO DOMINIO PUBLICO LOCAL ELEMENTOS PUBLICITARIOS,1000.00,00
2016,I,P,33909,TASACAJEROS AUTOMATICOS EN VIA PUBLICA,2120.00,00
2016,I,P,34101,PRECIO PUBLICO SERVICIO AYUDA A DOMICILIO,14000.00,00
2016,I,P,34200,PRECIO PUBLICO TALLERES CENTRO DE LA MUJER,10000.00,00
2016,I,P,34201,PRECIO PUBLICO CURSOS FORMACION AREA DE CULTURA,10000.00,00
2016,I,P,34202,PRECIO PUBLICO CURSOS FORMACION AREA DE JUVENTUD,3500.00,00
2016,I,P,34400,PRECIO PUBLICO FESTIVALES Y ESPECTACULOS,8000.00,00
2016,I,P,34401,PRECIO PUBLICO ENTRADA MUSEO RINCONADA,600.00,00
2016,I,P,34410,"PRECIO PUBLICO FESTIVALES Y ESPECTACULOS, COMPAÑIAS A TAQUILLA",46000.00,00
2016,I,P,34900,PRECIO PUBLICO FOTOCOPIADORA MUNICIPAL,350.00,00
2016,I,P,34901,PRECIO PUBLICO ACTIVIDADES EN LA NATURALEZA,13000.00,00
2016,I,P,34902,PRECIO PUBLICO ACTIVIDADES ANIMACION JUVENIL,6500.00,00
2016,I,P,38900,REINTEGRO DE OPERACIONES DE EJERCICIOS CERRADOS,1000.00,00
2016,I,P,39100,MULTAS POR INFRACCIONES URBANISTICAS,20000.00,00
2016,I,P,39120,MULTAS POR INFRACCIONES DE LA ORDENACION DE CIRCULACION,50000.00,00
2016,I,P,39191,SANCIONES POR INFRACCION DE LAS ORDENANZAS MUNICIPALES,3000.00,00
2016,I,P,39211,RECARGO DE APREMIO,170000.00,00
2016,I,P,39300,INTERESES DE DEMORA,30000.00,00
2016,I,P,39700,CANON POR APROVECHAMIENTO URBANISTICOS,30000.00,00
2016,I,P,39900,OTROS INGRESOS DIVERSOS,1000.00,00
2016,I,P,39901,REINTEGRO BONIFICACIONES IBI URBANA-VPO,100.00,00
2016,I,P,39902,REPERCUSIONES ANUNCIOS LICITACION Y OTROS,800.00,00
2016,I,P,39905,REPERSUCION SUMINISTROS ELECTRICOS Y FERIAS,23000.00,00
2016,I,P,39906,USO DE ESPACIOS DEL AREA DE JUVENTUD,500.00,00
2016,I,P,42000,PARTICIPACION EN TRIBUTOS DEL ESTADO,7541773.87,00
2016,I,P,42115,DEL INE ACTUALIZACION CENSO,450.00,00
2016,I,P,42191,"DEL SEPIE, BECAS FORMACION REGLADA",41695.00,00
2016,I,P,45000,PARTICIPACION EN LOS TRIBUTOS DE LA C.A,1924745.32,00
2016,I,P,45003,DE LA C.I Y P.S FINANCIACION SERVICOS SOCIALES COMUNITARIOS,165918.26,00
2016,I,P,45004,DE LA C.I Y P.S CONVENIO PROGRAMA TRATAMMIENTO FAMILIAS CON MENORES,88806.00,00
2016,I,P,45005,DE LA C.I Y P.S SUBVENCIO DROGODEPENDENCIA (CIUDADES ANTE LA DROGA),9884.00,00
2016,I,P,45006,DE LA C.I Y P.S FINANCIACION AYUDAS ECONOMICAS FAMILIARES,47837.00,00
2016,I,P,45007,DE LA C.I Y P.S CONVENIO SERVICIO AYUDA A DOMICILIO,1069178.67,00
2016,I,P,45008,DE LA C.I Y P.S REFUERZO PERSONAL LEY DE DEPENDENCIA,37763.00,00
2016,I,P,45009,DE LA C.I Y P.S CONVENIO SERICIO ATENCION INFANTIL TEMPRANA,109134.00,00
2016,I,P,45010,DE LA C.I Y P.S REFUERZO PLANTILLA ATENCION A INMIGRANTES,18422.46,00
2016,I,P,45011,DE LA C.I Y P.S PARAMANTENIMIENTO CENTRO DE DIA MUNICIPAL,5667.88,00
2016,I,P,45012,DE LA C.I Y P.S PARA PROGRAMA DE ENVEJECIMIENTO ACTIVO,12206.00,00
2016,I,P,45013,DE LA C.I Y P.S INTERVENCION EN ZONAS NECESIDADES TRANSFORMACION SOCIAL,6155.00,00
2016,I,P,45016,DE LA C.I Y P.S AYUDA A LA CONTRATACION PAC,209893.93,00
2016,I,P,45017,DE LA C.I Y P.S PROGRAMA DE CONSOLIDACION SAD,63937.84,00
2016,I,P,45018,DE LA CONSERJERIA DE EDUCACION. FORMACION EN EFICIENCIA ENERGETICA,45150.00,00
2016,I,P,45019,DE LA C.I. Y P.S. PROGRAMA GARANTIA ALIMENTARIA,13673.47,00
2016,I,P,45022,DE LA C.I. Y P.S. PROGRAMA SUMINISTROS VITALES,27800.00,00
2016,I,P,45087,DE LA CONSEJERIA DE EDUCACION PARA ACCIONES DE EMPLEO,74100.00,00
2016,I,P,45089,"DE LA CONSEJERIA DE SALUD, SUBVENCIONES EN MATERIA DE CONSUMO",2700.00,00
2016,I,P,45102,DEL I.A.M MANTENIMIENTO CENTRO INFORMACION MUJER,40826.62,00
2016,I,P,45114,DEL I.A.J PARA PROGRAMA DE JUVENTUD,3000.00,00
2016,I,P,45118,DEL I.A.M PROGRAMA INEM,24469.40,00
2016,I,P,45119,DEL S.A.E. T.E. ATENCION GERIATRICA Y ATENCION A LA DEPENDENCIA,718706.93,00
2016,I,P,45122,DEL S.A.E.PROGRAMA DE ORIENTACION E INSERCCION,171954.87,00
2016,I,P,45123,DEL S.A.E.PROGRAMA EXPERIENCIAS PROFESIONALES PARA EL EMPLEO,135622.72,00
2016,I,P,45124,DEL S.A.E. TALLER DE EMPLEO ATENCION INFANTIL Y EFICIENCIA ENERGETICA,766620.72,00
2016,I,P,45125,DEL S.A.E. PROGRAMA DE ORIENTACION PROFESIONAL Y EN LA INSERCCION-CONV.2016,210647.49,00
2016,I,P,45126,DEL S.A.E.PLSN EMPLEO JOVEN,907800.00,00
2016,I,P,45127,DEL S.A.E. PLAN EMPLEO 25+,565500.00,00
2016,I,P,45301,"DEL E.P.A.I.S.E, PARA ESCUELA INFANTIL GLORIA FUERTES",434321.06,00
2016,I,P,45302,"DEL E.P.A.I.S.E, PARA ESCUELA INFANTIL ALMONAZAR",289697.58,00
2016,I,P,45303,"DEL E.P.A.I.S.E, PARA ESCUELA INFANTIL SANTA CRUZ",280409.04,00
2016,I,P,46100,DEL OPAEF BONIFICACION TASAS RECAUDACION EJERCICIO ANTERIOR,105000.00,00
2016,I,P,46102,DE DIPUTACION PROGRAMA DROGODEPENDENCIA Y CENTRO COMARCAL,49197.00,00
2016,I,P,46104,DE DIPUTACION MANTENIMIENTO PARQUE DE BOMBEROS,40000.00,00
2016,I,P,46107,"DE DIPUTACION FESTIVAL FLAMENCO ·EL BUCARO""",4000.00,00
2016,I,P,46108,DE DIPUTACION PARA FESTIVAL DE TEATRO NIÑOS,4000.00,00
2016,I,P,46109,DE DIPUTACION PARA PROGRAMA DE JUVENTUD,5000.00,00
2016,I,P,46115,DE DIPUTACION SUBVENCION PROGRAMA EXTRAORDINARIO DE URGENCIA MUNICIPAL,169312.33,00
2016,I,P,46123,DE DIPUTACION PROYECTO DE COOPERACION INTERNACIONAL,31384.00,00
2016,I,P,47005,DE IRUS CENTER S.I. CONVENIO PATROCINIO CULTURAL-DEPORTIVO,23700.00,00
2016,I,P,47007,"CONVENIO PARQUE SOLAR ""LOS ALAMOS"" ACTIVIDADES MEDIOAMBIENTALES",3000.00,00
2016,I,P,47011,"CANVENIO PATROCINIO EMASESA 2015, CABALGATA REYES MAGOS",6633.88,00
2016,I,P,47012,DE EMASESA CONVENIO PATROCINIO 2016,10000.00,00
2016,I,P,47015,APORTACIONES CABALGATA RM (EMPRESAS),600.00,00
2016,I,P,47020,"CONVENIO PARQUE SOLAR ""LA RINCONADA"" ACTIVIDAD MEDIO AMBIENTAL",1500.00,00
